date,agegroup,are_covid19_incidence
2020-W40,00+,14
2020-W40,00-04,8
2020-W40,05-14,17
2020-W40,15-34,22
2020-W40,35-59,13
2020-W40,60+,8
2020-W41,00+,26
2020-W41,00-04,2
2020-W41,05-14,20
2020-W41,15-34,49
2020-W41,35-59,29
2020-W41,60+,9
2020-W42,00+,28
2020-W42,00-04,5
2020-W42,05-14,14
2020-W42,15-34,52
2020-W42,35-59,31
2020-W42,60+,13
2020-W43,00+,39
2020-W43,00-04,7
2020-W43,05-14,16
2020-W43,15-34,62
2020-W43,35-59,50
2020-W43,60+,19
2020-W44,00+,68
2020-W44,00-04,19
2020-W44,05-14,20
2020-W44,15-34,104
2020-W44,35-59,86
2020-W44,60+,40
2020-W45,00+,72
2020-W45,00-04,19
2020-W45,05-14,30
2020-W45,15-34,105
2020-W45,35-59,92
2020-W45,60+,45
2020-W46,00+,64
2020-W46,00-04,13
2020-W46,05-14,30
2020-W46,15-34,84
2020-W46,35-59,78
2020-W46,60+,49
2020-W47,00+,67
2020-W47,00-04,28
2020-W47,05-14,45
2020-W47,15-34,103
2020-W47,35-59,78
2020-W47,60+,38
2020-W48,00+,74
2020-W48,00-04,19
2020-W48,05-14,54
2020-W48,15-34,103
2020-W48,35-59,89
2020-W48,60+,47
2020-W49,00+,73
2020-W49,00-04,22
2020-W49,05-14,36
2020-W49,15-34,99
2020-W49,35-59,90
2020-W49,60+,51
2020-W50,00+,86
2020-W50,00-04,24
2020-W50,05-14,59
2020-W50,15-34,118
2020-W50,35-59,105
2020-W50,60+,58
2020-W51,00+,94
2020-W51,00-04,17
2020-W51,05-14,47
2020-W51,15-34,112
2020-W51,35-59,126
2020-W51,60+,71
2020-W52,00+,70
2020-W52,00-04,21
2020-W52,05-14,21
2020-W52,15-34,90
2020-W52,35-59,88
2020-W52,60+,57
2020-W53,00+,67
2020-W53,00-04,13
2020-W53,05-14,11
2020-W53,15-34,77
2020-W53,35-59,93
2020-W53,60+,55
2021-W01,00+,105
2021-W01,00-04,19
2021-W01,05-14,28
2021-W01,15-34,117
2021-W01,35-59,153
2021-W01,60+,76
2021-W02,00+,68
2021-W02,00-04,20
2021-W02,05-14,28
2021-W02,15-34,79
2021-W02,35-59,87
2021-W02,60+,55
2021-W03,00+,57
2021-W03,00-04,13
2021-W03,05-14,13
2021-W03,15-34,63
2021-W03,35-59,69
2021-W03,60+,58
2021-W04,00+,45
2021-W04,00-04,12
2021-W04,05-14,13
2021-W04,15-34,53
2021-W04,35-59,56
2021-W04,60+,41
2021-W05,00+,42
2021-W05,00-04,8
2021-W05,05-14,27
2021-W05,15-34,54
2021-W05,35-59,56
2021-W05,60+,25
